X1,Y1,X2,Y2,X3,Y3,
1.996,2.672,1.471,-1.106,3.511,7.62,
2.765,1.502,1.744,-1.112,2.273,6.813,
3.645,1.226,2.409,-2.787,4.663,2.125,
4.148,3.267,2.629,-0.943,5.228,8.641,
4.984,3.525,3.44,-4.07,1.254,7.334,
5.34,1.835,3.506,-1.68,6.444,0.52,
5.535,3.317,4.123,-4.013,7.184,3.304,
6.214,4.528,4.699,-2.282,1.026,7.918,
6.621,3.199,4.704,-5.034,9.597,9.885,
7.582,2.853,4.853,-2.234,4.197,2.764,
7.607,6.292,5.586,-4.423,6.263,6.146,
8.474,7.319,5.951,-5.424,2.68,5.189,
9.383,4.381,6.642,-8.398,8.972,9.139,
9.579,6.707,7.234,-7.628,7.062,3.816,
9.812,6.953,7.569,-10.338,0.974,3.655,
9.915,7.068,8.508,-2.986,8.352,6.36,
