DEVICE TYPE,FILE NAME,EX OFFSET, EV,SS,ISO,WB BLUE GAIN,WB GREEN GAIN,WB RED GAIN,WB TEMP,WB TINT, TORCH,FACE X, FACE Y, FACE W, FACE H, LEFT EYE X, LEFT EYE Y, RIGHT EYE X, RIGHT EYE Y, MOUTH X, MOUTH Y
iPhone8P,00_iPhone8P_050_030_000.dng,-6.5236,0.0000,0.0333,49.9492,1.8689,1.0000,2.1272,4005.6216,-0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_100_030_000.dng,-5.5392,0.0000,0.0333,99.8815,1.8689,1.0000,2.1272,4005.6216,-0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_200_030_000.dng,-3.7625,0.0000,0.0333,199.6923,1.8689,1.0000,2.1272,4005.6216,-0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_400_030_000.dng,-2.5419,0.0000,0.0333,400.0615,1.8689,1.0000,2.1272,4005.6216,-0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_050_060_000.dng,-6.5236,0.0000,0.0167,49.9492,1.8689,1.0000,2.1272,4005.6216,-0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_100_060_000.dng,-6.7142,0.0000,0.0167,99.8815,1.8689,1.0000,2.1272,4005.6216,-0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_200_060_000.dng,-5.6147,0.0000,0.0167,199.6923,1.8689,1.0000,2.1272,4005.6216,-0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_400_060_000.dng,-3.8365,0.0000,0.0167,400.0615,1.8689,1.0000,2.1272,4005.6216,-0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_050_120_000.dng,-6.5236,0.0000,0.0083,49.9492,1.8689,1.0000,2.1272,4005.6216,-0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_100_120_000.dng,-6.5236,0.0000,0.0083,99.8815,1.8689,1.0000,2.1272,4005.6216,-0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
